,buying,maint,doors,persons,lug_boot,safety,class_values,persional_point
0,1,1,2,2,1,2,unacc,0.0
1,1,1,2,2,1,3,unacc,0.0
2,1,1,2,2,2,1,unacc,0.0
3,1,1,2,2,2,2,unacc,0.0
4,1,1,2,2,2,3,unacc,0.0
5,1,1,2,2,3,1,unacc,0.0
6,1,1,2,2,3,2,unacc,0.0
7,1,1,2,2,3,3,unacc,0.0
8,1,1,2,4,1,1,unacc,0.0
9,1,1,2,4,1,2,unacc,0.0
10,1,1,2,4,1,3,unacc,0.0
11,1,1,2,4,2,1,unacc,0.0
12,1,1,2,4,2,2,unacc,0.0
13,1,1,2,4,2,3,unacc,0.0
14,1,1,2,4,3,1,unacc,0.0
15,1,1,2,4,3,2,unacc,0.0
16,1,1,2,4,3,3,unacc,0.0
17,1,1,2,6,1,1,unacc,2.0999999999999996
18,1,1,2,6,1,2,unacc,2.0999999999999996
19,1,1,2,6,1,3,unacc,2.0999999999999996
20,1,1,2,6,2,1,unacc,2.0999999999999996
21,1,1,2,6,2,2,unacc,2.0999999999999996
22,1,1,2,6,2,3,unacc,2.0999999999999996
23,1,1,2,6,3,1,unacc,2.0999999999999996
24,1,1,2,6,3,2,unacc,2.0999999999999996
25,1,1,2,6,3,3,unacc,2.0999999999999996
26,1,1,3,2,1,1,unacc,0.0
27,1,1,3,2,1,2,unacc,0.0
28,1,1,3,2,1,3,unacc,0.0
29,1,1,3,2,2,1,unacc,0.0
30,1,1,3,2,2,2,unacc,0.0
31,1,1,3,2,2,3,unacc,0.0
32,1,1,3,2,3,1,unacc,0.0
33,1,1,3,2,3,2,unacc,0.0
34,1,1,3,2,3,3,unacc,0.0
35,1,1,3,4,1,1,unacc,0.0
36,1,1,3,4,1,2,unacc,0.0
37,1,1,3,4,1,3,unacc,0.0
38,1,1,3,4,2,1,unacc,0.0
39,1,1,3,4,2,2,unacc,0.0
40,1,1,3,4,2,3,unacc,0.0
41,1,1,3,4,3,1,unacc,0.0
42,1,1,3,4,3,2,unacc,0.0
43,1,1,3,4,3,3,unacc,0.0
44,1,1,3,6,1,1,unacc,2.0999999999999996
45,1,1,3,6,1,2,unacc,2.0999999999999996
46,1,1,3,6,1,3,unacc,2.0999999999999996
47,1,1,3,6,2,1,unacc,2.0999999999999996
48,1,1,3,6,2,2,unacc,2.0999999999999996
49,1,1,3,6,2,3,unacc,2.0999999999999996
50,1,1,3,6,3,1,unacc,2.0999999999999996
51,1,1,3,6,3,2,unacc,2.0999999999999996
52,1,1,3,6,3,3,unacc,2.0999999999999996
53,1,1,4,2,1,1,unacc,0.0
54,1,1,4,2,1,2,unacc,0.0
55,1,1,4,2,1,3,unacc,0.0
56,1,1,4,2,2,1,unacc,0.0
57,1,1,4,2,2,2,unacc,0.0
58,1,1,4,2,2,3,unacc,0.0
59,1,1,4,2,3,1,unacc,0.0
60,1,1,4,2,3,2,unacc,0.0
61,1,1,4,2,3,3,unacc,0.0
62,1,1,4,4,1,1,unacc,0.0
63,1,1,4,4,1,2,unacc,0.0
64,1,1,4,4,1,3,unacc,0.0
65,1,1,4,4,2,1,unacc,0.0
66,1,1,4,4,2,2,unacc,0.0
67,1,1,4,4,2,3,unacc,0.0
68,1,1,4,4,3,1,unacc,0.0
69,1,1,4,4,3,2,unacc,0.0
70,1,1,4,4,3,3,unacc,0.0
71,1,1,4,6,1,1,unacc,2.0999999999999996
72,1,1,4,6,1,2,unacc,2.0999999999999996
73,1,1,4,6,1,3,unacc,2.0999999999999996
74,1,1,4,6,2,1,unacc,2.0999999999999996
75,1,1,4,6,2,2,unacc,2.0999999999999996
76,1,1,4,6,2,3,unacc,2.0999999999999996
77,1,1,4,6,3,1,unacc,2.0999999999999996
78,1,1,4,6,3,2,unacc,2.0999999999999996
79,1,1,4,6,3,3,unacc,2.0999999999999996
80,1,1,5,2,1,1,unacc,1.2
81,1,1,5,2,1,2,unacc,1.2
82,1,1,5,2,1,3,unacc,1.2
83,1,1,5,2,2,1,unacc,1.2
84,1,1,5,2,2,2,unacc,1.2
85,1,1,5,2,2,3,unacc,1.2
86,1,1,5,2,3,1,unacc,1.2
87,1,1,5,2,3,2,unacc,1.2
88,1,1,5,2,3,3,unacc,1.2
89,1,1,5,4,1,1,unacc,1.2
90,1,1,5,4,1,2,unacc,1.2
91,1,1,5,4,1,3,unacc,1.2
92,1,1,5,4,2,1,unacc,1.2
93,1,1,5,4,2,2,unacc,1.2
94,1,1,5,4,2,3,unacc,1.2
95,1,1,5,4,3,1,unacc,1.2
96,1,1,5,4,3,2,unacc,1.2
97,1,1,5,4,3,3,unacc,1.2
98,1,1,5,6,1,1,unacc,3.3
99,1,1,5,6,1,2,unacc,3.3
100,1,1,5,6,1,3,unacc,3.3
101,1,1,5,6,2,1,unacc,3.3
102,1,1,5,6,2,2,unacc,3.3
103,1,1,5,6,2,3,unacc,3.3
104,1,1,5,6,3,1,unacc,3.3
105,1,1,5,6,3,2,unacc,3.3
106,1,1,5,6,3,3,unacc,3.3
107,1,2,2,2,1,1,unacc,0.0
108,1,2,2,2,1,2,unacc,0.0
109,1,2,2,2,1,3,unacc,0.0
110,1,2,2,2,2,1,unacc,0.0
111,1,2,2,2,2,2,unacc,0.0
112,1,2,2,2,2,3,unacc,0.0
113,1,2,2,2,3,1,unacc,0.0
114,1,2,2,2,3,2,unacc,0.0
115,1,2,2,2,3,3,unacc,0.0
116,1,2,2,4,1,1,unacc,0.0
117,1,2,2,4,1,2,unacc,0.0
118,1,2,2,4,1,3,unacc,0.0
119,1,2,2,4,2,1,unacc,0.0
120,1,2,2,4,2,2,unacc,0.0
121,1,2,2,4,2,3,unacc,0.0
122,1,2,2,4,3,1,unacc,0.0
123,1,2,2,4,3,2,unacc,0.0
124,1,2,2,4,3,3,unacc,0.0
125,1,2,2,6,1,1,unacc,2.0999999999999996
126,1,2,2,6,1,2,unacc,2.0999999999999996
127,1,2,2,6,1,3,unacc,2.0999999999999996
128,1,2,2,6,2,1,unacc,2.0999999999999996
129,1,2,2,6,2,2,unacc,2.0999999999999996
130,1,2,2,6,2,3,unacc,2.0999999999999996
131,1,2,2,6,3,1,unacc,2.0999999999999996
132,1,2,2,6,3,2,unacc,2.0999999999999996
133,1,2,2,6,3,3,unacc,2.0999999999999996
134,1,2,3,2,1,1,unacc,0.0
135,1,2,3,2,1,2,unacc,0.0
136,1,2,3,2,1,3,unacc,0.0
137,1,2,3,2,2,1,unacc,0.0
138,1,2,3,2,2,2,unacc,0.0
139,1,2,3,2,2,3,unacc,0.0
140,1,2,3,2,3,1,unacc,0.0
141,1,2,3,2,3,2,unacc,0.0
142,1,2,3,2,3,3,unacc,0.0
143,1,2,3,4,1,1,unacc,0.0
144,1,2,3,4,1,2,unacc,0.0
145,1,2,3,4,1,3,unacc,0.0
146,1,2,3,4,2,1,unacc,0.0
147,1,2,3,4,2,2,unacc,0.0
148,1,2,3,4,2,3,unacc,0.0
149,1,2,3,4,3,1,unacc,0.0
150,1,2,3,4,3,2,unacc,0.0
151,1,2,3,4,3,3,unacc,0.0
152,1,2,3,6,1,1,unacc,2.0999999999999996
153,1,2,3,6,1,2,unacc,2.0999999999999996
154,1,2,3,6,1,3,unacc,2.0999999999999996
155,1,2,3,6,2,1,unacc,2.0999999999999996
156,1,2,3,6,2,2,unacc,2.0999999999999996
157,1,2,3,6,2,3,unacc,2.0999999999999996
158,1,2,3,6,3,1,unacc,2.0999999999999996
159,1,2,3,6,3,2,unacc,2.0999999999999996
160,1,2,3,6,3,3,unacc,2.0999999999999996
161,1,2,4,2,1,1,unacc,0.0
162,1,2,4,2,1,2,unacc,0.0
163,1,2,4,2,1,3,unacc,0.0
164,1,2,4,2,2,1,unacc,0.0
165,1,2,4,2,2,2,unacc,0.0
166,1,2,4,2,2,3,unacc,0.0
167,1,2,4,2,3,1,unacc,0.0
168,1,2,4,2,3,2,unacc,0.0
169,1,2,4,2,3,3,unacc,0.0
170,1,2,4,4,1,1,unacc,0.0
171,1,2,4,4,1,2,unacc,0.0
172,1,2,4,4,1,3,unacc,0.0
173,1,2,4,4,2,1,unacc,0.0
174,1,2,4,4,2,2,unacc,0.0
175,1,2,4,4,2,3,unacc,0.0
176,1,2,4,4,3,1,unacc,0.0
177,1,2,4,4,3,2,unacc,0.0
178,1,2,4,4,3,3,unacc,0.0
179,1,2,4,6,1,1,unacc,2.0999999999999996
180,1,2,4,6,1,2,unacc,2.0999999999999996
181,1,2,4,6,1,3,unacc,2.0999999999999996
182,1,2,4,6,2,1,unacc,2.0999999999999996
183,1,2,4,6,2,2,unacc,2.0999999999999996
184,1,2,4,6,2,3,unacc,2.0999999999999996
185,1,2,4,6,3,1,unacc,2.0999999999999996
186,1,2,4,6,3,2,unacc,2.0999999999999996
187,1,2,4,6,3,3,unacc,2.0999999999999996
188,1,2,5,2,1,1,unacc,1.2
189,1,2,5,2,1,2,unacc,1.2
190,1,2,5,2,1,3,unacc,1.2
191,1,2,5,2,2,1,unacc,1.2
192,1,2,5,2,2,2,unacc,1.2
193,1,2,5,2,2,3,unacc,1.2
194,1,2,5,2,3,1,unacc,1.2
195,1,2,5,2,3,2,unacc,1.2
196,1,2,5,2,3,3,unacc,1.2
197,1,2,5,4,1,1,unacc,1.2
198,1,2,5,4,1,2,unacc,1.2
199,1,2,5,4,1,3,unacc,1.2
200,1,2,5,4,2,1,unacc,1.2
201,1,2,5,4,2,2,unacc,1.2
202,1,2,5,4,2,3,unacc,1.2
203,1,2,5,4,3,1,unacc,1.2
204,1,2,5,4,3,2,unacc,1.2
205,1,2,5,4,3,3,unacc,1.2
206,1,2,5,6,1,1,unacc,3.3
207,1,2,5,6,1,2,unacc,3.3
208,1,2,5,6,1,3,unacc,3.3
209,1,2,5,6,2,1,unacc,3.3
210,1,2,5,6,2,2,unacc,3.3
211,1,2,5,6,2,3,unacc,3.3
212,1,2,5,6,3,1,unacc,3.3
213,1,2,5,6,3,2,unacc,3.3
214,1,2,5,6,3,3,unacc,3.3
215,1,3,2,2,1,1,unacc,0.0
216,1,3,2,2,1,2,unacc,0.0
217,1,3,2,2,1,3,unacc,0.0
218,1,3,2,2,2,1,unacc,0.0
219,1,3,2,2,2,2,unacc,0.0
220,1,3,2,2,2,3,unacc,0.0
221,1,3,2,2,3,1,unacc,0.0
222,1,3,2,2,3,2,unacc,0.0
223,1,3,2,2,3,3,unacc,0.0
224,1,3,2,4,1,1,unacc,0.0
225,1,3,2,4,1,2,unacc,0.0
226,1,3,2,4,1,3,acc,0.0
227,1,3,2,4,2,1,unacc,0.0
228,1,3,2,4,2,2,unacc,0.0
229,1,3,2,4,2,3,acc,0.0
230,1,3,2,4,3,1,unacc,0.0
231,1,3,2,4,3,2,acc,0.0
232,1,3,2,4,3,3,acc,0.0
233,1,3,2,6,1,1,unacc,2.0999999999999996
234,1,3,2,6,1,2,unacc,2.0999999999999996
235,1,3,2,6,1,3,unacc,2.0999999999999996
236,1,3,2,6,2,1,unacc,2.0999999999999996
237,1,3,2,6,2,2,unacc,2.0999999999999996
238,1,3,2,6,2,3,acc,2.0999999999999996
239,1,3,2,6,3,1,unacc,2.0999999999999996
240,1,3,2,6,3,2,acc,2.0999999999999996
241,1,3,2,6,3,3,acc,2.0999999999999996
242,1,3,3,2,1,1,unacc,0.0
243,1,3,3,2,1,2,unacc,0.0
244,1,3,3,2,1,3,unacc,0.0
245,1,3,3,2,2,1,unacc,0.0
246,1,3,3,2,2,2,unacc,0.0
247,1,3,3,2,2,3,unacc,0.0
248,1,3,3,2,3,1,unacc,0.0
249,1,3,3,2,3,2,unacc,0.0
250,1,3,3,2,3,3,unacc,0.0
251,1,3,3,4,1,1,unacc,0.0
252,1,3,3,4,1,2,unacc,0.0
253,1,3,3,4,1,3,acc,0.0
254,1,3,3,4,2,1,unacc,0.0
255,1,3,3,4,2,2,unacc,0.0
256,1,3,3,4,2,3,acc,0.0
257,1,3,3,4,3,1,unacc,0.0
258,1,3,3,4,3,2,acc,0.0
259,1,3,3,4,3,3,acc,0.0
260,1,3,3,6,1,1,unacc,2.0999999999999996
261,1,3,3,6,1,2,unacc,2.0999999999999996
262,1,3,3,6,1,3,acc,2.0999999999999996
263,1,3,3,6,2,1,unacc,2.0999999999999996
264,1,3,3,6,2,2,acc,2.0999999999999996
265,1,3,3,6,2,3,acc,2.0999999999999996
266,1,3,3,6,3,1,unacc,2.0999999999999996
267,1,3,3,6,3,2,acc,2.0999999999999996
268,1,3,3,6,3,3,acc,2.0999999999999996
269,1,3,4,2,1,1,unacc,0.0
270,1,3,4,2,1,2,unacc,0.0
271,1,3,4,2,1,3,unacc,0.0
272,1,3,4,2,2,1,unacc,0.0
273,1,3,4,2,2,2,unacc,0.0
274,1,3,4,2,2,3,unacc,0.0
275,1,3,4,2,3,1,unacc,0.0
276,1,3,4,2,3,2,unacc,0.0
277,1,3,4,2,3,3,unacc,0.0
278,1,3,4,4,1,1,unacc,0.0
279,1,3,4,4,1,2,unacc,0.0
280,1,3,4,4,1,3,acc,0.0
281,1,3,4,4,2,1,unacc,0.0
282,1,3,4,4,2,2,acc,0.0
283,1,3,4,4,2,3,acc,0.0
284,1,3,4,4,3,1,unacc,0.0
285,1,3,4,4,3,2,acc,0.0
286,1,3,4,4,3,3,acc,0.0
287,1,3,4,6,1,1,unacc,2.0999999999999996
288,1,3,4,6,1,2,unacc,2.0999999999999996
289,1,3,4,6,1,3,acc,2.0999999999999996
290,1,3,4,6,2,1,unacc,2.0999999999999996
291,1,3,4,6,2,2,acc,2.0999999999999996
292,1,3,4,6,2,3,acc,2.0999999999999996
293,1,3,4,6,3,1,unacc,2.0999999999999996
294,1,3,4,6,3,2,acc,2.0999999999999996
295,1,3,4,6,3,3,acc,2.0999999999999996
